0 [6.00e-01]
10000 [4.76e-01]
20000 [3.75e-01]
30000 [2.78e-01]
40000 [1.81e-01]
50000 [8.40e-02]
60000 [-1.01e-02]
70000 [-8.41e-02]
80000 [-9.49e-02]
90000 [-1.06e-01]
100000 [-1.12e-01]
110000 [-1.13e-01]
120000 [-1.13e-01]
130000 [-1.13e-01]
140000 [-1.13e-01]
150000 [-1.13e-01]
160000 [-1.13e-01]
170000 [-1.13e-01]
180000 [-1.13e-01]
190000 [-1.13e-01]
200000 [-1.13e-01]
210000 [-1.13e-01]
220000 [-1.13e-01]
230000 [-1.13e-01]
240000 [-1.13e-01]
250000 [-1.13e-01]
260000 [-1.13e-01]
270000 [-1.13e-01]
280000 [-1.13e-01]
290000 [-1.13e-01]
300000 [-1.13e-01]
310000 [-1.13e-01]
320000 [-1.13e-01]
330000 [-1.13e-01]
340000 [-1.13e-01]
350000 [-1.13e-01]
360000 [-1.13e-01]
370000 [-1.13e-01]
380000 [-1.13e-01]
390000 [-1.13e-01]
400000 [-1.13e-01]
410000 [-1.13e-01]
420000 [-1.13e-01]
430000 [-1.13e-01]
440000 [-1.13e-01]
450000 [-1.13e-01]
460000 [-1.13e-01]
470000 [-1.13e-01]
480000 [-1.13e-01]
490000 [-1.13e-01]
500000 [-1.13e-01]
